Folder,Subfolders,Files,Size (Bytes)
/srv/wordpress/wp_data/wp-includes/blocks/term-description,0,5,2112
/srv/wordpress/wp_data/wp-includes/blocks/text-columns,0,9,3054
/srv/wordpress/wp_data/wp-includes/blocks/query-pagination-next,0,1,1039
/srv/wordpress/wp_data/wp-includes/blocks/missing,0,1,678
/srv/wordpress/wp_data/wp-includes/blocks/gallery,0,13,78286
/srv/wordpress/wp_data/wp-includes/blocks/term-name,0,5,1577
/srv/wordpress/wp_data/wp-includes/blocks/post-comments-count,0,5,1372
/srv/wordpress/wp_data/wp-includes/blocks/site-tagline,0,9,2148
/srv/wordpress/wp_data/wp-includes/blocks/post-template,0,5,7967
/srv/wordpress/wp_data/wp-includes/blocks/query-title,0,5,1750
/srv/wordpress/wp_data/wp-includes/blocks/comments-pagination,0,9,6147
/srv/wordpress/wp_data/wp-includes/blocks/table,0,13,27622
/srv/wordpress/wp_data/wp-includes/blocks/comment-reply-link,0,5,1447
/srv/wordpress/wp_data/wp-includes/blocks/query-pagination,0,9,5775
/srv/wordpress/wp_data/wp-includes/blocks/comment-date,0,5,1562
/srv/wordpress/wp_data/wp-includes/blocks/post-date,0,5,1623
/srv/wordpress/wp_data/wp-includes/blocks/cover,0,9,87939
/srv/wordpress/wp_data/wp-includes/blocks/post-featured-image,0,9,30219
/srv/wordpress/wp_data/wp-includes/blocks/video,0,13,8626
/srv/wordpress/wp_data/wp-includes/blocks/accordion-panel,0,5,2096
/srv/wordpress/wp_data/wp-includes/blocks/post-excerpt,0,9,3307
/srv/wordpress/wp_data/wp-includes/blocks/list-item,0,1,1471
/srv/wordpress/wp_data/wp-includes/blocks/comment-edit-link,0,5,1654
/srv/wordpress/wp_data/wp-includes/blocks/post-author-biography,0,5,1507
/srv/wordpress/wp_data/wp-includes/blocks/image,0,17,59767
/srv/wordpress/wp_data/wp-includes/blocks/comment-content,0,5,1838
/srv/wordpress/wp_data/wp-includes/blocks/home-link,0,1,1152
/srv/wordpress/wp_data/wp-includes/blocks/button,0,9,14327
/srv/wordpress/wp_data/wp-includes/blocks/comments-pagination-numbers,0,5,1833
/srv/wordpress/wp_data/wp-includes/blocks/accordion,0,5,2137
/srv/wordpress/wp_data/wp-includes/blocks/freeform,0,5,41702
/srv/wordpress/wp_data/wp-includes/blocks/archives,0,9,2057
/srv/wordpress/wp_data/wp-includes/blocks/accordion-item,0,5,2896
/srv/wordpress/wp_data/wp-includes/blocks/comments-pagination-next,0,1,1011
/srv/wordpress/wp_data/wp-includes/blocks/latest-comments,0,5,6816
/srv/wordpress/wp_data/wp-includes/blocks/quote,0,9,7191
/srv/wordpress/wp_data/wp-includes/blocks/comments,0,9,29695
/srv/wordpress/wp_data/wp-includes/blocks/term-template,0,9,3560
/srv/wordpress/wp_data/wp-includes/blocks/query,0,9,13922
/srv/wordpress/wp_data/wp-includes/blocks/site-logo,0,9,15830
/srv/wordpress/wp_data/wp-includes/blocks/tag-cloud,0,9,3996
/srv/wordpress/wp_data/wp-includes/blocks/comments-pagination-previous,0,1,1023
/srv/wordpress/wp_data/wp-includes/blocks/terms-query,0,1,905
/srv/wordpress/wp_data/wp-includes/blocks/query-total,0,5,1520
/srv/wordpress/wp_data/wp-includes/blocks/media-text,0,9,16728
/srv/wordpress/wp_data/wp-includes/blocks/social-link,0,5,3510
/srv/wordpress/wp_data/wp-includes/blocks/term-count,0,5,1462
